address,metal,grams,rawUnits
0x6bec6af707c00a9f49e5c5c3570ef61d4df41570,AUXG,5,5000
0x8d23e12cac0f1d2a8c609b973f394396a4da5011,AUXG,2.7735638952838,2774
0x8d23e12cac0f1d2a8c609b973f394396a4da5011,AUXS,252.06795654260077,252068
0x8d23e12cac0f1d2a8c609b973f394396a4da5011,AUXPD,0.955918,956
0xc15600e8c4e733c9b2e7ec24c7d75ebcef00bdcf,AUXS,5.0623287671232875,5062
0xEdC9163c5f8A2a76BD1CdDa6BAA4Eb576B481070,AUXG,7392.226,7392226 (TREASURY)
0xEdC9163c5f8A2a76BD1CdDa6BAA4Eb576B481070,AUXS,71742.87,71742870 (TREASURY)
0xEdC9163c5f8A2a76BD1CdDa6BAA4Eb576B481070,AUXPT,230,230000 (TREASURY)
0xEdC9163c5f8A2a76BD1CdDa6BAA4Eb576B481070,AUXPD,381.044,381044 (TREASURY)
